Name,Type,Problem,fixed YES/NO,,,,,,,,,,
oppo f11,SMARTPHONE,lcd,YES,,,,,,,,,,
lg xpower2 ,SMARTPHONE,lcd,YES,,,,,,,,,,
huawei y72017,SMARTPHONE,lcd,YES,,,,,,,,,,
oppo a1k,SMARTPHONE,lcd,YES,,,,,,,,,,
cidea,PAD,touch,YES,,,,,,,,,,
condor ftrois,CELL,charge,YES,,,,,,,,,,
condor p6pro,SMARTPHONE,charge,YES,,,,,,,,,,
samsung g532,SMARTPHONE,frp,YES,,,,,,,,,,
samsung b350,CELL,charge,YES,,,,,,,,,,
lg k7,SMARTPHONE,off,NO,,,,,,,,,,
lg xpower,SMARTPHONE,off,NO,,,,,,,,,,
samsung b310,CELL,off,YES,,,,,,,,,,
doogee x5,SMARTPHONE,touch,YES,,,,,,,,,,
condor c4+,SMARTPHONE,off,NO,,,,,,,,,,
condor ftrois,CELL,sound,YES,,,,,,,,,,
lenovo a319,SMARTPHONE,flash,YES,,,,,,,,,,
cidea,PAD,touch,YES,,,,,,,,,,
lg q6,SMARTPHONE,lcd,YES,,,,,,,,,,
condor p6pro ,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung j4plus,SMARTPHONE,frp,YES,,,,,,,,,,
samsung e1200,CELL,mic,YES,,,,,,,,,,
cidea ,PAD,touch,YES,,,,,,,,,,
lg stylus3,SMARTPHONE,charge,YES,,,,,,,,,,
samsung j4+,SMARTPHONE,flash,NO,,,,,,,,,,
samsung m11,SMARTPHONE,lcd,YES,,,,,,,,,,
huawei honor7a,SMARTPHONE,battery,YES,,,,,,,,,,
stream b1s,SMARTPHONE,flash,YES,,,,,,,,,,
samsung b310,CELL,mic,YES,,,,,,,,,,
iris vox5,SMARTPHONE,touch,YES,,,,,,,,,,
samsung e1232,CELL,flash,YES,,,,,,,,,,
condor p6 pro,SMARTPHONE,mic,YES,,,,,,,,,,
samsung j250f,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung j8,SMARTPHONE,lcd,YES,,,,,,,,,,
redmi 8a,SMARTPHONE,off,NO,,,,,,,,,,
condor g2s,SMARTPHONE,off,NO,,,,,,,,,,
oppo A3S,SMARTPHONE,lcd,YES,,,,,,,,,,
sony d2303,SMARTPHONE,lock,NO,,,,,,,,,,
oppo a5s,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung b310,CELL,flash arabic,YES,,,,,,,,,,
cidea,PAD,touch,YES,,,,,,,,,,
condor 718 ,PAD,charge,YES,,,,,,,,,,
samsung a750,SMARTPHONE,charge,YES,,,,,,,,,,
oppo a12,SMARTPHONE,lock,YES,,,,,,,,,,
samsung j250,SMARTPHONE,lcd,YES,,,,,,,,,,
condor t3,SMARTPHONE,flash,YES,,,,,,,,,,
condor g2s,SMARTPHONE,off,NO,,,,,,,,,,
iris s4s,SMARTPHONE,touch,YES,,,,,,,,,,
lg stylus 3,SMARTPHONE,flash,NO,,,,,,,,,,
cidea,PAD,off,YES,,,,,,,,,,
huawei p10 lite,SMARTPHONE,sound,YES,,,,,,,,,,
nokia 130,CELL,lcd,YES,,,,,,,,,,
condor m1+charge,SMARTPHONE,charge,YES,,,,,,,,,,
condor l2 pro,SMARTPHONE,charge,YES,,,,,,,,,,
samsung g532f,SMARTPHONE,off,NO,,,,,,,,,,
condor a8,SMARTPHONE,mic,YES,,,,,,,,,,
oppo f1s,SMARTPHONE,lock,YES,,,,,,,,,,
condor p8 pro,SMARTPHONE,off,YES,,,,,,,,,,
samsung j7 prime,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung a10,SMARTPHONE,lcd,YES,,,,,,,,,,
cidea,PAD,off,YES,,,,,,,,,,
samsung b310,CELL,mic,YES,,,,,,,,,,
samsung g532,SMARTPHONE,off,NO,,,,,,,,,,
nokia c1,CELL,off,NO,,,,,,,,,,
doogee x53,SMARTPHONE,touch,NO,,,,,,,,,,
samsung a21s,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung a02s ,SMARTPHONE,charge,NO,,,,,,,,,,
redmi 9c,SMARTPHONE,lock,YES,,,,,,,,,,
oppo a5s,SMARTPHONE,lcd,YES,,,,,,,,,,
benzo,PAD,touch,YES,,,,,,,,,,
condor c2,SMARTPHONE,lock,YES,,,,,,,,,,
starlight m08,CELL,lcd,YES,,,,,,,,,,
condor t5,SMARTPHONE,touch,YES,,,,,,,,,,
honor 8x,SMARTPHONE,lcd,YES,,,,,,,,,,
redmi 9a,SMARTPHONE,lock,YES,,,,,,,,,,
samsung a30,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung b350,SMARTPHONE,lcd,YES,,,,,,,,,,
iris i350,CELL,off,YES,,,,,,,,,,
lg xpower 3,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung j250,SMARTPHONE,charge,YES,,,,,,,,,,
samsung j5 2016,SMARTPHONE,frp,YES,,,,,,,,,,
samsung b310,CELL,lcd,YES,,,,,,,,,,
condor g5,SMARTPHONE,off,NO,,,,,,,,,,
condor p6 pro,SMARTPHONE,frp,YES,,,,,,,,,,w
cidea,PAD,touch,YES,,,,,,,,,,
condor f6 ,CELL,lcd,YES,,,,,,,,,,
condor a8,SMARTPHONE,charge,YES,,,,,,,,,,
cidea ,PAD,lock,YES,,,,,,,,,,
samsung i9060,SMARTPHONE,charge,YES,,,,,,,,,,
wiko lenny 2,SMARTPHONE,charge,YES,,,,,,,,,,
lg stylus 3,SMARTPHONE,charge,YES,,,,,,,,,,
nokia 105,CELL,flash arabic,YES,,,,,,,,,,
condor p6 pro ,SMARTPHONE,lcd,YES,,,,,,,,,,
poco m3,SMARTPHONE,off,NO,,,,,,,,,,
tecno spark 4,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung g350,SMARTPHONE,charge,YES,,,,,,,,,,
condor t7,SMARTPHONE,lcd,NO,,,,,,,,,,
condor f6,CELL,lcd,YES,,,,,,,,,,
starlight i star,SMARTPHONE,off,NO,,,,,,,,,,
lg k11 plus,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung j4,SMARTPHONE,lcd,YES,,,,,,,,,,
condor t5,SMARTPHONE,charge,YES,,,,,,,,,,
doogee x11,SMARTPHONE,charge,NO,,,,,,,,,,
samsung j7 max,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung s6,SMARTPHONE,charge,NO,,,,,,,,,,
condor m3,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung b310,CELL,lock,YES,,,,,,,,,,
starlight c note ,SMARTPHONE,charge,YES,,,,,,,,,,
condor a8,SMARTPHONE,charge,YES,,,,,,,,,,
samsung a10s,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung b310,CELL,lcd,YES,,,,,,,,,,
infinix smart 5,SMARTPHONE,lcd,YES,,,,,,,,,,
iris vox pop pro,SMARTPHONE,touch,YES,,,,,,,,,,
samsung a02 ,SMARTPHONE,battery,YES,,,,,,,,,,
samsung a01 core,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung s7,SMARTPHONE,frp,YES,,,,,,,,,,
condor t4,SMARTPHONE,charge,YES,,,,,,,,,,
samsung a12,SMARTPHONE,frp,NO,,,,,,,,,,
samsung a50,SMARTPHONE,charge,NO,,,,,,,,,,
samsung m30,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung a10,SMARTPHONE,frp,YES,,,,,,,,,,
iris 7020,PAD,charge,NO,,,,,,,,,,
huawei y5,SMARTPHONE,battery,YES,,,,,,,,,,
oppo f1s ,SMARTPHONE,lcd,YES,,,,,,,,,,
condor tab 710,PAD,touch,YES,,,,,,,,,,
samsung m30,SMARTPHONE,lcd,YES,,,,,,,,,,
nokia 130,CELL,flash,YES,,,,,,,,,,
doogee x10,SMARTPHONE,flash,YES,,,,,,,,,,
wise-tech a3+,CELL,lcd,NO,,,,,,,,,,
samsung j4+,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung j7 pro,SMARTPHONE,lcd,YES,,,,,,,,,,
condor 706,PAD,lcd,YES,,,,,,,,,,
samsung a6,SMARTPHONE,lcd,YES,,,,,,,,,,
oppo f3,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung j4+,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung b310,CELL,lcd,YES,,,,,,,,,,
doogee x5,SMARTPHONE,off,NO,,,,,,,,,,
samsung g350,SMARTPHONE,charge,YES,,,,,,,,,,
condor p8 lite ,SMARTPHONE,battery,YES,,,,,,,,,,
condor p8 pro,SMARTPHONE,lcd,YES,,,,,,,,,,
condor t4,SMARTPHONE,touch,NO,,,,,,,,,,
condor tab 801g ,PAD,touch,YES,,,,,,,,,,
condor t6,SMARTPHONE,touch,NO,,,,,,,,,,
iris is6 +,SMARTPHONE,frp,YES,,,,,,,,,,
starlight m11,CELL,lcd,YES,,,,,,,,,,
huawei y6 prime 2018,SMARTPHONE,lcd ,YES,,,,,,,,,,
samsung a6+,SMARTPHONE,lcd,YES,,,,,,,,,,
condor l2,SMARTPHONE,charge,YES,,,,,,,,,,
samsung j4,SMARTPHONE,frp,YES,,,,,,,,,,
samsung b310,SMARTPHONE,mic,YES,,,,,,,,,,
samsung a10,SMARTPHONE,lcd,YES,,,,,,,,,,
condor a8,SMARTPHONE,lcd,YES,,,,,,,,,,
condor m3,SMARTPHONE,charge,YES,,,,,,,,,,
huawei honor 8x,SMARTPHONE,lcd,YES,,,,,,,,,,
huawei honor 10 lite,SMARTPHONE,battery,YES,,,,,,,,,,
condor l2,SMARTPHONE,charge,YES,,,,,,,,,,
condor p7 plus,SMARTPHONE,off,NO,,,,,,,,,,
ace zip 1,CELL,mic,YES,,,,,,,,,,
condor p8 lite,SMARTPHONE,charge,YES,,,,,,,,,,
lg k11+,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung a11,SMARTPHONE,lcd,YES,,,,,,,,,,
condor 710,PAD,touch,YES,,,,,,,,,,
